,Label (Grouping),"Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.8%,13.0%,12.5%
22,    15 to 17 years,3.7%,3.7%,3.6%
23,    18 to 24 years,8.6%,8.9%,8.3%
24,    15 to 44 years,42.6%,44.0%,41.2%
25,    16 years and over,79.9%,79.7%,80.1%
26,    18 years and over,77.4%,77.1%,77.8%
27,    60 years and over,18.1%,16.5%,19.8%
28,    62 years and over,15.7%,14.2%,17.3%
29,    65 years and over,12.8%,11.3%,14.4%
30,    75 years and over,5.6%,4.6%,6.6%
