,Label (Grouping),United States!!Total!!Estimate,United States!!Male!!Estimate,United States!!Female!!Estimate
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.9%,13.4%,12.5%
22,    15 to 17 years,3.9%,4.1%,3.8%
23,    18 to 24 years,9.8%,10.2%,9.4%
24,    15 to 44 years,40.1%,41.2%,39.1%
25,    16 years and over,79.5%,78.7%,80.3%
26,    18 years and over,76.9%,76.0%,77.7%
27,    60 years and over,20.4%,18.7%,22.0%
28,    62 years and over,17.9%,16.3%,19.5%
29,    65 years and over,14.5%,13.0%,16.0%
30,    75 years and over,6.2%,5.1%,7.3%
