,Label (Grouping),"Orange County, California!!Total!!Estimate","Orange County, California!!Male!!Estimate","Orange County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.9%,13.3%,12.4%
22,    15 to 17 years,4.1%,4.2%,4.0%
23,    18 to 24 years,9.9%,10.3%,9.6%
24,    15 to 44 years,41.6%,42.6%,40.7%
25,    16 years and over,79.7%,79.1%,80.4%
26,    18 years and over,77.0%,76.2%,77.7%
27,    60 years and over,18.5%,16.8%,20.1%
28,    62 years and over,16.2%,14.6%,17.7%
29,    65 years and over,13.2%,11.7%,14.6%
30,    75 years and over,5.8%,4.8%,6.8%
