,Label (Grouping),"Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Male!!Estimate","Contra Costa County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.9%,14.5%,13.3%
22,    15 to 17 years,4.4%,4.7%,4.2%
23,    18 to 24 years,8.4%,8.9%,7.9%
24,    15 to 44 years,39.3%,40.2%,38.5%
25,    16 years and over,78.3%,77.2%,79.3%
26,    18 years and over,75.3%,74.1%,76.4%
27,    60 years and over,18.3%,16.9%,19.6%
28,    62 years and over,15.9%,14.4%,17.2%
29,    65 years and over,12.6%,11.2%,14.0%
30,    75 years and over,5.7%,4.7%,6.8%
