,Label (Grouping),"Tulare County, California!!Total!!Estimate","Tulare County, California!!Male!!Estimate","Tulare County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,17.7%,18.1%,17.4%
22,    15 to 17 years,5.1%,5.2%,5.1%
23,    18 to 24 years,10.7%,11.1%,10.3%
24,    15 to 44 years,42.1%,42.8%,41.4%
25,    16 years and over,71.9%,71.2%,72.5%
26,    18 years and over,68.4%,67.8%,69.0%
27,    60 years and over,14.9%,13.8%,16.1%
28,    62 years and over,13.0%,11.9%,14.1%
29,    65 years and over,10.4%,9.4%,11.5%
30,    75 years and over,4.4%,3.7%,5.1%
