,Label (Grouping),"San Bernardino County, California!!Total!!Estimate","San Bernardino County, California!!Male!!Estimate","San Bernardino County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.0%,15.3%,14.6%
22,    15 to 17 years,4.6%,4.7%,4.5%
23,    18 to 24 years,10.7%,11.3%,10.2%
24,    15 to 44 years,43.0%,43.9%,42.1%
25,    16 years and over,76.3%,75.8%,76.9%
26,    18 years and over,73.2%,72.5%,73.9%
27,    60 years and over,16.2%,15.1%,17.3%
28,    62 years and over,13.8%,12.7%,14.8%
29,    65 years and over,11.1%,10.0%,12.1%
30,    75 years and over,4.3%,3.6%,5.0%
