,Label (Grouping),"Amador County, California!!Total!!Estimate","Amador County, California!!Male!!Estimate","Amador County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,8.8%,8.2%,9.4%
22,    15 to 17 years,3.0%,3.2%,2.8%
23,    18 to 24 years,6.7%,7.3%,5.9%
24,    15 to 44 years,29.9%,32.9%,26.4%
25,    16 years and over,86.3%,87.4%,85.0%
26,    18 years and over,84.5%,85.2%,83.6%
27,    60 years and over,34.2%,30.5%,38.4%
28,    62 years and over,30.5%,27.1%,34.5%
29,    65 years and over,24.7%,22.4%,27.4%
30,    75 years and over,9.5%,8.4%,10.8%
