,Label (Grouping),"Los Angeles County, California!!Total!!Estimate","Los Angeles County, California!!Male!!Estimate","Los Angeles County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.3%,13.8%,12.8%
22,    15 to 17 years,4.5%,4.7%,4.3%
23,    18 to 24 years,10.7%,11.1%,10.4%
24,    15 to 44 years,44.9%,46.1%,43.8%
25,    16 years and over,78.6%,77.9%,79.4%
26,    18 years and over,75.6%,74.7%,76.5%
27,    60 years and over,15.6%,13.9%,17.2%
28,    62 years and over,13.6%,11.9%,15.2%
29,    65 years and over,11.0%,9.5%,12.4%
30,    75 years and over,5.1%,4.1%,6.1%
