,Label (Grouping),"Modoc County, California!!Total!!Estimate","Modoc County, California!!Male!!Estimate","Modoc County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.4%,13.2%,11.5%
22,    15 to 17 years,4.7%,5.6%,3.7%
23,    18 to 24 years,6.2%,6.3%,6.1%
24,    15 to 44 years,30.0%,32.4%,27.6%
25,    16 years and over,81.4%,81.3%,81.6%
26,    18 years and over,77.9%,76.4%,79.5%
27,    60 years and over,27.7%,26.4%,29.0%
28,    62 years and over,24.6%,24.2%,25.0%
29,    65 years and over,20.2%,19.4%,20.9%
30,    75 years and over,8.1%,7.2%,9.0%
