,Label (Grouping),"Glenn County, California!!Total!!Estimate","Glenn County, California!!Male!!Estimate","Glenn County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.1%,15.4%,14.7%
22,    15 to 17 years,4.7%,4.8%,4.6%
23,    18 to 24 years,9.1%,9.4%,8.8%
24,    15 to 44 years,37.7%,37.9%,37.5%
25,    16 years and over,76.0%,75.5%,76.5%
26,    18 years and over,72.9%,72.0%,73.9%
27,    60 years and over,20.9%,19.5%,22.4%
28,    62 years and over,18.1%,16.6%,19.6%
29,    65 years and over,14.6%,13.6%,15.6%
30,    75 years and over,6.4%,5.6%,7.2%
