,Label (Grouping),"Calaveras County, California!!Total!!Estimate","Calaveras County, California!!Male!!Estimate","Calaveras County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,10.9%,11.6%,10.3%
22,    15 to 17 years,4.3%,4.6%,4.0%
23,    18 to 24 years,6.6%,7.1%,6.0%
24,    15 to 44 years,28.5%,29.3%,27.7%
25,    16 years and over,83.6%,82.9%,84.3%
26,    18 years and over,80.7%,79.8%,81.7%
27,    60 years and over,30.7%,30.1%,31.3%
28,    62 years and over,27.0%,25.5%,28.6%
29,    65 years and over,21.6%,21.1%,22.1%
30,    75 years and over,8.5%,8.3%,8.7%
