"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","Fresno County, California!!Total!!Estimate","Fresno County, California!!Total!!Margin of Error","Fresno County, California!!Male!!Estimate","Fresno County, California!!Male!!Margin of Error","Fresno County, California!!Female!!Estimate","Fresno County, California!!Female!!Margin of Error"
"Total population","309,138,711","*****","152,018,799","±6,022","157,119,912","±6,025","930,517","*****","464,903","±58","465,614","±58"
"AGE","","","","","","","","","","","",""
"    Under 5 years","6.5%","±0.1","6.8%","±0.1","6.3%","±0.1","8.5%","±0.1","8.7%","±0.1","8.3%","±0.1"
"    5 to 9 years","6.6%","±0.1","6.8%","±0.1","6.3%","±0.1","8.1%","±0.2","8.1%","±0.2","8.1%","±0.2"
"    10 to 14 years","6.7%","±0.1","7.0%","±0.1","6.4%","±0.1","8.0%","±0.2","8.4%","±0.2","7.7%","±0.2"
"    15 to 19 years","7.1%","±0.1","7.4%","±0.1","6.8%","±0.1","8.5%","±0.1","8.8%","±0.1","8.3%","±0.1"
"    20 to 24 years","7.0%","±0.1","7.3%","±0.1","6.8%","±0.1","8.2%","±0.1","8.4%","±0.1","8.0%","±0.1"
"    25 to 29 years","6.8%","±0.1","7.0%","±0.1","6.7%","±0.1","7.6%","±0.1","7.8%","±0.1","7.4%","±0.1"
"    30 to 34 years","6.5%","±0.1","6.6%","±0.1","6.4%","±0.1","6.7%","±0.1","6.8%","±0.1","6.5%","±0.1"
"    35 to 39 years","6.5%","±0.1","6.6%","±0.1","6.4%","±0.1","6.3%","±0.2","6.4%","±0.2","6.2%","±0.2"
"    40 to 44 years","6.8%","±0.1","6.9%","±0.1","6.8%","±0.1","6.0%","±0.2","6.0%","±0.2","6.0%","±0.2"
"    45 to 49 years","7.3%","±0.1","7.3%","±0.1","7.2%","±0.1","6.3%","±0.1","6.3%","±0.1","6.3%","±0.1"
"    50 to 54 years","7.2%","±0.1","7.2%","±0.1","7.2%","±0.1","6.0%","±0.1","6.0%","±0.1","6.1%","±0.1"
"    55 to 59 years","6.4%","±0.1","6.3%","±0.1","6.5%","±0.1","5.2%","±0.1","5.1%","±0.2","5.3%","±0.1"
"    60 to 64 years","5.5%","±0.1","5.3%","±0.1","5.6%","±0.1","4.4%","±0.1","4.2%","±0.2","4.5%","±0.1"
"    65 to 69 years","4.1%","±0.1","3.9%","±0.1","4.2%","±0.1","3.1%","±0.1","3.1%","±0.1","3.2%","±0.1"
"    70 to 74 years","3.1%","±0.1","2.8%","±0.1","3.3%","±0.1","2.3%","±0.1","2.0%","±0.1","2.5%","±0.1"
"    75 to 79 years","2.4%","±0.1","2.1%","±0.1","2.7%","±0.1","1.8%","±0.1","1.6%","±0.1","2.0%","±0.1"
"    80 to 84 years","1.9%","±0.1","1.5%","±0.1","2.2%","±0.1","1.5%","±0.1","1.2%","±0.1","1.7%","±0.1"
"    85 years and over","1.8%","±0.1","1.2%","±0.1","2.4%","±0.1","1.5%","±0.1","1.0%","±0.1","2.0%","±0.1"
"SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"    5 to 14 years","13.2%","±0.1","13.8%","±0.1","12.7%","±0.1","16.1%","±0.1","16.5%","±0.1","15.8%","±0.1"
"    15 to 17 years","4.2%","±0.1","4.4%","±0.1","4.0%","±0.1","5.1%","±0.1","5.3%","±0.1","5.0%","±0.1"
"    18 to 24 years","10.0%","±0.1","10.4%","±0.1","9.6%","±0.1","11.6%","±0.1","11.9%","±0.1","11.2%","±0.1"
"    15 to 44 years","40.8%","±0.1","41.8%","±0.1","39.8%","±0.1","43.4%","±0.1","44.3%","±0.1","42.4%","±0.1"
"    16 years and over","78.9%","±0.1","78.0%","±0.1","79.7%","±0.1","73.8%","±0.1","73.1%","±0.1","74.4%","±0.1"
"    18 years and over","76.1%","±0.1","75.1%","±0.1","77.0%","±0.1","70.2%","*****","69.5%","±0.1","70.9%","±0.1"
"    60 years and over","18.6%","±0.1","16.9%","±0.1","20.3%","±0.1","14.5%","±0.1","13.1%","±0.2","15.9%","±0.1"
"    62 years and over","16.3%","±0.1","14.6%","±0.1","17.9%","±0.1","12.7%","±0.1","11.3%","±0.1","14.1%","±0.1"
"    65 years and over","13.2%","±0.1","11.5%","±0.1","14.7%","±0.1","10.1%","±0.1","8.9%","±0.1","11.4%","±0.1"
"    75 years and over","6.0%","±0.1","4.8%","±0.1","7.2%","±0.1","4.7%","±0.1","3.8%","±0.1","5.7%","±0.1"
"SUMMARY INDICATORS","","","","","","","","","","","",""
"    Median age (years)","37.2","±0.1","35.8","±0.1","38.5","±0.1","30.7","±0.1","29.8","±0.1","31.6","±0.1"
"    Sex ratio (males per 100 females)","96.8","±0.1","(X)","(X)","(X)","(X)","99.8","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","59.0","±0.1","(X)","(X)","(X)","(X)","66.4","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","20.9","±0.1","(X)","(X)","(X)","(X)","16.9","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","38.0","±0.1","(X)","(X)","(X)","(X)","49.5","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.2%","(X)","(X)","(X)","(X)","(X)","2.2%","(X)","(X)","(X)","(X)","(X)"
