"Label (Grouping)","Imperial County, California!!Total!!Estimate","Imperial County, California!!Total!!Margin of Error","Imperial County, California!!Male!!Estimate","Imperial County, California!!Male!!Margin of Error","Imperial County, California!!Female!!Estimate","Imperial County, California!!Female!!Margin of Error"
"Total population","180,883","*****","92,611","±677","88,272","±677"
"AGE","","","","","",""
"    Under 5 years","8.3%","±0.2","8.3%","±0.3","8.3%","±0.3"
"    5 to 9 years","7.7%","±0.8","9.3%","±1.2","6.1%","±1.3"
"    10 to 14 years","7.8%","±0.8","6.7%","±1.4","9.0%","±1.3"
"    15 to 19 years","7.9%","±0.4","7.7%","±0.3","8.2%","±0.6"
"    20 to 24 years","7.8%","±0.3","8.3%","±0.6","7.2%","±0.4"
"    25 to 29 years","7.4%","±0.3","8.5%","±0.6","6.3%","±0.3"
"    30 to 34 years","7.0%","±0.5","7.8%","±0.9","6.1%","±0.3"
"    35 to 39 years","6.0%","±0.9","5.7%","±1.2","6.2%","±1.2"
"    40 to 44 years","5.9%","±0.9","6.4%","±1.2","5.3%","±1.1"
"    45 to 49 years","5.7%","±0.5","5.5%","±0.6","5.9%","±0.4"
"    50 to 54 years","5.5%","±0.3","5.1%","±0.5","6.0%","±0.5"
"    55 to 59 years","5.2%","±0.8","5.0%","±0.9","5.4%","±1.0"
"    60 to 64 years","5.0%","±0.7","4.6%","±0.8","5.5%","±1.0"
"    65 to 69 years","3.7%","±0.5","3.5%","±0.6","3.9%","±0.9"
"    70 to 74 years","3.3%","±0.5","2.8%","±0.6","3.9%","±0.9"
"    75 to 79 years","2.6%","±0.4","2.1%","±0.6","3.1%","±0.8"
"    80 to 84 years","1.4%","±0.5","1.3%","±0.6","1.4%","±0.7"
"    85 years and over","1.8%","±0.5","1.4%","±0.6","2.3%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.5%","±0.3","15.9%","±0.5","15.1%","±0.3"
"    15 to 17 years","4.8%","±0.2","4.7%","±0.2","4.9%","±0.3"
"    18 to 24 years","10.9%","±0.5","11.3%","±0.7","10.5%","±0.5"
"    15 to 44 years","42.0%","±0.5","44.5%","±0.8","39.3%","±0.6"
"    16 years and over","74.9%","±0.4","74.4%","±0.7","75.4%","±0.7"
"    18 years and over","71.4%","±0.1","71.0%","±0.4","71.8%","±0.3"
"    60 years and over","17.8%","±0.8","15.6%","±0.9","20.1%","±1.0"
"    62 years and over","15.6%","±0.7","14.0%","±1.0","17.3%","±0.8"
"    65 years and over","12.8%","±0.3","11.0%","±0.4","14.6%","±0.3"
"    75 years and over","5.8%","±0.2","4.8%","±0.3","6.8%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.5","±0.8","31.2","±0.7","34.2","±0.7"
"    Sex ratio (males per 100 females)","104.9","±1.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","70.7","±0.9","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","21.8","±0.6","(X)","(X)","(X)","(X)"
"    Child dependency ratio","48.8","±0.4","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.8%","(X)","(X)","(X)","(X)","(X)"
