"Label (Grouping)","Imperial County, California!!Total!!Estimate","Imperial County, California!!Total!!Margin of Error","Imperial County, California!!Male!!Estimate","Imperial County, California!!Male!!Margin of Error","Imperial County, California!!Female!!Estimate","Imperial County, California!!Female!!Margin of Error"
"Total population","176,948","*****","91,945","±834","85,003","±834"
"AGE","","","","","",""
"    Under 5 years","8.1%","±0.2","7.8%","±0.3","8.4%","±0.4"
"    5 to 9 years","8.6%","±0.9","7.9%","±1.4","9.4%","±1.1"
"    10 to 14 years","6.8%","±0.9","7.5%","±1.3","6.0%","±1.1"
"    15 to 19 years","8.2%","±0.3","8.6%","±0.6","7.8%","±0.3"
"    20 to 24 years","8.4%","±0.4","9.1%","±0.5","7.7%","±0.4"
"    25 to 29 years","7.1%","±0.4","7.9%","±0.5","6.2%","±0.4"
"    30 to 34 years","6.4%","±0.3","6.8%","±0.5","5.9%","±0.3"
"    35 to 39 years","6.2%","±0.7","6.2%","±0.9","6.2%","±1.1"
"    40 to 44 years","6.9%","±0.8","6.7%","±0.9","7.1%","±1.2"
"    45 to 49 years","6.1%","±0.4","6.0%","±0.6","6.1%","±0.4"
"    50 to 54 years","6.2%","±0.2","6.1%","±0.3","6.3%","±0.1"
"    55 to 59 years","6.7%","±0.7","7.2%","±0.7","6.2%","±0.9"
"    60 to 64 years","3.6%","±0.6","2.8%","±0.7","4.5%","±0.9"
"    65 to 69 years","3.3%","±0.5","2.5%","±0.6","4.2%","±0.8"
"    70 to 74 years","2.5%","±0.5","2.5%","±0.6","2.4%","±0.7"
"    75 to 79 years","2.2%","±0.4","1.9%","±0.5","2.6%","±0.6"
"    80 to 84 years","1.3%","±0.4","1.2%","±0.6","1.5%","±0.5"
"    85 years and over","1.4%","±0.4","1.1%","±0.6","1.7%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.4%","±0.3","15.4%","±0.5","15.4%","±0.5"
"    15 to 17 years","5.0%","±0.3","5.3%","±0.5","4.7%","±0.3"
"    18 to 24 years","11.6%","±0.4","12.4%","±0.5","10.7%","±0.4"
"    15 to 44 years","43.1%","±0.6","45.3%","±0.9","40.7%","±0.5"
"    16 years and over","75.1%","±0.5","75.2%","±0.8","74.9%","±0.9"
"    18 years and over","71.5%","±0.2","71.5%","±0.6","71.5%","±0.6"
"    60 years and over","14.4%","±0.6","12.2%","±0.7","16.9%","±0.9"
"    62 years and over","12.9%","±0.5","11.1%","±0.6","14.9%","±0.7"
"    65 years and over","10.8%","±0.2","9.3%","±0.2","12.3%","±0.3"
"    75 years and over","4.9%","±0.1","4.3%","±0.1","5.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.0","±0.7","30.6","±0.5","33.9","±0.5"
"    Sex ratio (males per 100 females)","108.2","±2.0","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.7","±0.7","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","17.7","±0.3","(X)","(X)","(X)","(X)"
"        Child dependency ratio","46.9","±0.4","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.0%","(X)","(X)","(X)","(X)","(X)"
