"Label (Grouping)","Imperial County, California!!Total!!Estimate","Imperial County, California!!Total!!Margin of Error","Imperial County, California!!Male!!Estimate","Imperial County, California!!Male!!Margin of Error","Imperial County, California!!Female!!Estimate","Imperial County, California!!Female!!Margin of Error"
"Total population","173,487","*****","89,318","±97","84,169","±97"
"AGE","","","","","",""
"    Under 5 years","8.0%","*****","7.9%","±0.1","8.0%","±0.1"
"    5 to 9 years","8.0%","±0.3","7.7%","±0.5","8.3%","±0.4"
"    10 to 14 years","8.0%","±0.3","8.3%","±0.5","7.6%","±0.5"
"    15 to 19 years","8.6%","±0.1","8.7%","±0.1","8.5%","±0.1"
"    20 to 24 years","7.8%","±0.1","8.4%","±0.1","7.1%","±0.1"
"    25 to 29 years","7.1%","±0.1","7.8%","±0.1","6.4%","±0.1"
"    30 to 34 years","6.6%","±0.1","7.1%","±0.2","6.1%","±0.1"
"    35 to 39 years","6.2%","±0.4","6.7%","±0.5","5.7%","±0.5"
"    40 to 44 years","6.8%","±0.4","6.6%","±0.5","7.0%","±0.4"
"    45 to 49 years","6.6%","±0.1","6.5%","±0.1","6.7%","±0.1"
"    50 to 54 years","6.3%","±0.1","6.1%","±0.1","6.5%","±0.1"
"    55 to 59 years","5.7%","±0.3","5.2%","±0.4","6.1%","±0.4"
"    60 to 64 years","3.9%","±0.3","3.6%","±0.3","4.1%","±0.4"
"    65 to 69 years","3.2%","±0.2","2.9%","±0.2","3.5%","±0.3"
"    70 to 74 years","2.5%","±0.2","2.1%","±0.2","2.8%","±0.3"
"    75 to 79 years","2.1%","±0.2","2.0%","±0.2","2.3%","±0.2"
"    80 to 84 years","1.6%","±0.2","1.3%","±0.2","1.8%","±0.2"
"    85 years and over","1.2%","±0.1","1.0%","±0.2","1.5%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","16.0%","*****","16.0%","±0.1","15.9%","±0.1"
"    15 to 17 years","5.2%","*****","5.2%","±0.1","5.2%","±0.1"
"    18 to 24 years","11.2%","±0.1","12.0%","±0.1","10.4%","±0.1"
"    15 to 44 years","43.1%","±0.1","45.3%","±0.2","40.8%","±0.2"
"    16 years and over","74.3%","±0.2","74.4%","±0.3","74.3%","±0.3"
"    18 years and over","70.9%","*****","70.9%","±0.1","70.8%","±0.1"
"    60 years and over","14.5%","±0.3","13.0%","±0.4","16.0%","±0.4"
"    62 years and over","12.8%","±0.2","11.5%","±0.3","14.2%","±0.3"
"    65 years and over","10.6%","±0.1","9.3%","±0.1","11.9%","±0.1"
"    75 years and over","4.9%","±0.1","4.3%","±0.1","5.6%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.8","±0.2","30.8","±0.2","33.3","±0.3"
"    Sex ratio (males per 100 females)","106.1","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.9","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","17.6","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","48.3","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.5%","(X)","(X)","(X)","(X)","(X)"
